   Epoch 085/250 ( 34.0%) | train loss 0.0811 acc  97.05% | test loss 0.3252 acc  89.87% | best  91.74% | lr 7.0e-04 | time  15.9s                               
   Epoch 086/250 ( 34.4%) | train loss 0.0821 acc  97.05% | test loss 0.3942 acc  89.21% | best  91.74% | lr 7.0e-04 | time  16.2s                               
   Epoch 087/250 ( 34.8%) | train loss 0.0812 acc  97.10% | test loss 0.3793 acc  89.65% | best  91.74% | lr 7.0e-04 | time  16.3s                               
   Epoch 088/250 ( 35.2%) | train loss 0.0841 acc  97.10% | test loss 0.4953 acc  88.44% | best  91.74% | lr 7.0e-04 | time  16.3s                               
   Epoch 089/250 ( 35.6%) | train loss 0.0939 acc  96.65% | test loss 0.4412 acc  88.11% | best  91.74% | lr 7.0e-04 | time  16.5s                               
   Epoch 090/250 ( 36.0%) | train loss 0.0836 acc  96.70% | test loss 0.3861 acc  90.09% | best  91.74% | lr 7.0e-04 | time  16.3s                               
   Epoch 091/250 ( 36.4%) | train loss 0.0722 acc  97.15% | test loss 0.3542 acc  91.08% | best  91.74% | lr 7.0e-04 | time  16.5s                               
⭐ Epoch 092/250 ( 36.8%) | train loss 0.0825 acc  97.20% | test loss 0.3550 acc  91.85% | best  91.85% | lr 7.0e-04 | time  16.5s                               
   Epoch 093/250 ( 37.2%) | train loss 0.0776 acc  97.35% | test loss 0.3886 acc  89.10% | best  91.85% | lr 7.0e-04 | time  16.7s                               
   Epoch 094/250 ( 37.6%) | train loss 0.0750 acc  97.51% | test loss 0.3620 acc  90.20% | best  91.85% | lr 7.0e-04 | time  16.2s                               
   Epoch 095/250 ( 38.0%) | train loss 0.0820 acc  96.85% | test loss 0.3441 acc  90.53% | best  91.85% | lr 7.0e-04 | time  16.2s                               
⭐ Epoch 096/250 ( 38.4%) | train loss 0.0777 acc  97.13% | test loss 0.3430 acc  92.18% | best  92.18% | lr 7.0e-04 | time  16.3s                               
   Epoch 097/250 ( 38.8%) | train loss 0.0683 acc  97.76% | test loss 0.3615 acc  89.98% | best  92.18% | lr 7.0e-04 | time  16.6s                               
   Epoch 098/250 ( 39.2%) | train loss 0.0779 acc  96.90% | test loss 0.3704 acc  89.54% | best  92.18% | lr 7.0e-04 | time  16.0s                               
   Epoch 099/250 ( 39.6%) | train loss 0.0753 acc  97.08% | test loss 0.3561 acc  90.97% | best  92.18% | lr 7.0e-04 | time  16.2s                               
   Epoch 100/250 ( 40.0%) | train loss 0.0869 acc  97.05% | test loss 0.3962 acc  88.11% | best  92.18% | lr 7.0e-04 | time  16.5s                               
   Epoch 101/250 ( 40.4%) | train loss 0.0832 acc  96.70% | test loss 0.3387 acc  90.75% | best  92.18% | lr 4.9e-04 | time  16.8s                               
   Epoch 102/250 ( 40.8%) | train loss 0.0644 acc  97.56% | test loss 0.3729 acc  89.87% | best  92.18% | lr 4.9e-04 | time  16.7s                               
   Epoch 103/250 ( 41.2%) | train loss 0.0461 acc  98.26% | test loss 0.3892 acc  91.74% | best  92.18% | lr 4.9e-04 | time  16.3s                               
   Epoch 104/250 ( 41.6%) | train loss 0.0521 acc  98.26% | test loss 0.3557 acc  90.86% | best  92.18% | lr 4.9e-04 | time  16.3s                               
   Epoch 105/250 ( 42.0%) | train loss 0.0537 acc  98.21% | test loss 0.3032 acc  91.41% | best  92.18% | lr 4.9e-04 | time  16.3s                               
   Epoch 106/250 ( 42.4%) | train loss 0.0534 acc  98.06% | test loss 0.3275 acc  92.07% | best  92.18% | lr 4.9e-04 | time  16.4s                               
   Epoch 107/250 ( 42.8%) | train loss 0.0548 acc  97.86% | test loss 0.3296 acc  89.54% | best  92.18% | lr 4.9e-04 | time  16.3s                               
